ID,Name,Code3,Code2,"Area
(km)",Population,Density,Sub_region,Column1,Needed,Column3,Column2,EU accession date,Schengen Area member,Eurozone member,Flag
12,Estonia,EST,ee,45226,1319133,28,Northern Europe,EU,1,Baltics,New EU,"May 1, 2004",Yes,Yes,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
13,Finland,FIN,fi,338455,5509717,16,Northern Europe,EU,0,,,"January 1, 1995",Yes,Yes,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
14,France,FRA,fr,547030,67348000,116,Western Europe,EU,0,,,"March 25, 1957",Yes,Yes,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
15,Germany,DEU,de,357168,82800000,232,Western Europe,EU,0,,,"March 25, 1957",Yes,Yes,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
16,Greece,GRC,gr,131957,10768477,82,Southern Europe,EU,0,,,"January 1, 1981",Yes,Yes,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
17,Hungary,HUN,hu,93030,9797561,105.3,Eastern Europe,EU,1,Central Europe,New EU,"May 1, 2004",Yes,No,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
18,Iceland,ISL,is,103000,350710,3.2,Northern Europe,Non-EU,0,,,,No,No,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
19,Ireland,IRL,ie,70280,4761865,67.7,Northern Europe,EU,0,,,"January 1, 1973",No,Yes,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
20,Italy,ITA,it,301338,60589445,201.3,Southern Europe,EU,0,,,"March 25, 1957",Yes,Yes,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
21,Kosovo,XXK,xk,10908,1920079,159,Southern Europe,Non-EU,1,Western Balkans,Western Balkans,,No,No,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
22,Latvia,LVA,lv,64589,1925800,34.3,Northern Europe,EU,1,Baltics,New EU,"May 1, 2004",Yes,Yes,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
23,Liechtenstein,LIE,li,160,38111,227,Western Europe,Non-EU,0,,,,No,No,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
24,Lithuania,LTU,lt,65300,2800667,45.8,Northern Europe,EU,1,Baltics,New EU,"May 1, 2004",Yes,Yes,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
25,Luxembourg,LUX,lu,2586,602005,233.7,Western Europe,EU,0,,,"March 25, 1957",Yes,Yes,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
26,Malta,MLT,mt,316,445426,1410,Southern Europe,EU,1,Mediterranean,New EU,"May 1, 2004",Yes,Yes,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
27,Moldova,MDA,md,33846,4434547,131,Eastern Europe,Non-EU,0,,,,No,No,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
28,Monaco,MCO,mc,2.02,38400,18713,Western Europe,Non-EU,0,,,,No,No,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
29,Montenegro,MNE,me,13812,642550,45,Southern Europe,Non-EU,1,Western Balkans,Western Balkans,,No,No,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
30,Netherlands,NLD,nl,41543,17271990,414.9,Western Europe,EU,0,,,"March 25, 1957",Yes,Yes,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
31,North Macedonia,MKD,mk,25713,2103721,80.1,Southern Europe,Non-EU,1,Western Balkans,Western Balkans,,No,No,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
32,Norway,NOR,no,385203,5295619,15.8,Northern Europe,Non-EU,0,,,,No,No,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
33,Poland,POL,pl,312685,38422346,123.5,Eastern Europe,EU,1,Central Europe,New EU,"May 1, 2004",Yes,No,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
34,Portugal,PRT,pt,92212,10379537,115,Southern Europe,EU,0,,,"January 1, 1986",Yes,Yes,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
35,Romania,ROU,ro,238397,19638000,84.4,Eastern Europe,EU,1,Eastern Europe,New EU,"January 1, 2007",No,No,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
36,Russia,RUS,ru,17098246,144526636,8.4,Eastern Europe,Non-EU,0,,,,No,No,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
37,San Marino,SMR,sm,61.2,33285,520,Southern Europe,Non-EU,0,,,,No,No,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
38,Serbia,SRB,rs,88361,7040272,91.1,Southern Europe,Non-EU,1,Western Balkans,Western Balkans,,No,No,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
39,Slovakia,SVK,sk,49035,5435343,111,Eastern Europe,EU,1,Central Europe,New EU,"May 1, 2004",Yes,Yes,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
40,Slovenia,SVN,si,20273,2066880,101.8,Southern Europe,EU,1,Central Europe,New EU,"May 1, 2004",Yes,Yes,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
41,Spain,ESP,es,505990,46698151,92,Southern Europe,EU,0,,,"January 1, 1986",Yes,Yes,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
42,Sweden,SWE,se,450295,10151588,22.5,Northern Europe,EU,0,,,"January 1, 1995",Yes,No,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
43,Switzerland,CHE,ch,41285,8401120,202,Western Europe,Non-EU,0,,,,No,No,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
44,Turkey,TUR,tr,783356,80810525,105,Southern Europe,Non-EU,0,,,,No,No,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
45,Ukraine,UKR,ua,603628,42418235,73.8,Eastern Europe,Non-EU,0,,,,No,No,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
46,United Kingdom,GBR,gb,244820,66040229,270.7,Northern Europe,Non-EU,0,,,,No,No,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
